/home/shenshiyu/SmartTrafficFramework/dataloader.py:130: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.indices = torch.tensor(self.indices.clone().detach(),dtype=torch.int64)
Train epoch     33/100   |  Loss: 0.18008180  |  Acc: 70.65%   |  Acc_inner: 93.62%   |  LR: 0.00075452  | Load data time: 0.36...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.48   m  |  Backward time: 1.06   m  |  Total time: 2.00   m
Train epoch     34/100   |  Loss: 0.15771368  |  Acc: 71.21%   |  Acc_inner: 94.37%   |  LR: 0.00074088  | Load data time: 0.34...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.47   m  |  Backward time: 1.05   m  |  Total time: 1.96   m
Train epoch     35/100   |  Loss: 0.17464043  |  Acc: 71.21%   |  Acc_inner: 94.37%   |  LR: 0.00072700  | Load data time: 0.33...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.45   m  |  Backward time: 0.98   m  |  Total time: 1.86   m
Train epoch     36/100   |  Loss: 0.14446287  |  Acc: 71.87%   |  Acc_inner: 95.25%   |  LR: 0.00071289  | Load data time: 0.34...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.47   m  |  Backward time: 1.01   m  |  Total time: 1.92   m
Train epoch     37/100   |  Loss: 0.15702553  |  Acc: 71.52%   |  Acc_inner: 94.77%   |  LR: 0.00069857  | Load data time: 0.36...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.47   m  |  Backward time: 1.05   m  |  Total time: 1.98   m
Train epoch     38/100   |  Loss: 0.16629021  |  Acc: 71.36%   |  Acc_inner: 94.57%   |  LR: 0.00068406  | Load data time: 0.34...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.47   m  |  Backward time: 1.03   m  |  Total time: 1.93   m
Train epoch     39/100   |  Loss: 0.14260101  |  Acc: 71.67%   |  Acc_inner: 94.98%   |  LR: 0.00066937  | Load data time: 0.33...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.45   m  |  Backward time: 0.97   m  |  Total time: 1.83   m
Train epoch     40/100   |  Loss: 0.15590896  |  Acc: 71.72%   |  Acc_inner: 95.04%   |  LR: 0.00065451  | Load data time: 0.32...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.45   m  |  Backward time: 0.85   m  |  Total time: 1.71   m
Train epoch     41/100   |  Loss: 0.13861588  |  Acc: 72.13%   |  Acc_inner: 95.59%   |  LR: 0.00063950  | Load data time: 0.34...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.46   m  |  Backward time: 1.02   m  |  Total time: 1.91   m
Train epoch     42/100   |  Loss: 0.14671117  |  Acc: 71.52%   |  Acc_inner: 94.77%   |  LR: 0.00062434  | Load data time: 0.33...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.45   m  |  Backward time: 0.95   m  |  Total time: 1.83   m
Train epoch     43/100   |  Loss: 0.14102191  |  Acc: 72.08%   |  Acc_inner: 95.52%   |  LR: 0.00060907  | Load data time: 0.32...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.45   m  |  Backward time: 0.83   m  |  Total time: 1.69   m
Train epoch     44/100   |  Loss: 0.14026949  |  Acc: 71.47%   |  Acc_inner: 94.70%   |  LR: 0.00059369  | Load data time: 0.32...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.45   m  |  Backward time: 0.90   m  |  Total time: 1.76   m
Train epoch     45/100   |  Loss: 0.16639294  |  Acc: 70.85%   |  Acc_inner: 93.89%   |  LR: 0.00057822  | Load data time: 0.36...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.48   m  |  Backward time: 1.06   m  |  Total time: 2.00   m
